model,idx,source,true_label,ood_score,pred_label,correct
AA-only (before retrain),0,AA_pure,ID,0.784392,ID,1
AA-only (before retrain),1,AA_pure,ID,0.63107,ID,1
AA-only (before retrain),2,AA_pure,ID,0.385804,ID,1
AA-only (before retrain),3,AA_pure,ID,0.562172,ID,1
AA-only (before retrain),4,AA_pure,ID,0.44619,ID,1
AA-only (before retrain),5,AA_pure,ID,0.402614,ID,1
AA-only (before retrain),6,AA_pure,ID,0.509429,ID,1
AA-only (before retrain),7,AA_pure,ID,0.95098,OOD,0
AA-only (before retrain),8,AA_pure,ID,0.503512,ID,1
AA-only (before retrain),9,AA_pure,ID,0.422073,ID,1
AA-only (before retrain),10,AA_pure,ID,0.420912,ID,1
AA-only (before retrain),11,AA_pure,ID,0.950341,OOD,0
AA-only (before retrain),12,AA_pure,ID,0.934001,OOD,0
AA-only (before retrain),13,AA_pure,ID,0.414509,ID,1
AA-only (before retrain),14,AA_pure,ID,0.413168,ID,1
AA-only (before retrain),15,AA_pure,ID,0.586129,ID,1
AA-only (before retrain),16,AA_pure,ID,0.446438,ID,1
AA-only (before retrain),17,AA_pure,ID,0.546744,ID,1
AA-only (before retrain),18,AA_pure,ID,0.487057,ID,1
AA-only (before retrain),19,AA_pure,ID,0.428657,ID,1
AA-only (before retrain),20,AA_pure,ID,0.587691,ID,1
AA-only (before retrain),21,AA_pure,ID,0.403051,ID,1
AA-only (before retrain),22,AA_pure,ID,0.469366,ID,1
AA-only (before retrain),23,AA_pure,ID,0.467232,ID,1
AA-only (before retrain),24,AA_pure,ID,0.604164,ID,1
AA-only (before retrain),25,AA_pure,ID,0.711225,ID,1
AA-only (before retrain),26,AA_pure,ID,0.396454,ID,1
AA-only (before retrain),27,AA_pure,ID,0.635425,ID,1
AA-only (before retrain),28,AA_pure,ID,0.746755,ID,1
AA-only (before retrain),29,AA_pure,ID,0.675145,ID,1
AA-only (before retrain),30,AA_pure,ID,0.55349,ID,1
AA-only (before retrain),31,AA_pure,ID,0.579348,ID,1
AA-only (before retrain),32,AA_pure,ID,0.578495,ID,1
AA-only (before retrain),33,AA_pure,ID,0.546167,ID,1
AA-only (before retrain),34,AA_pure,ID,0.564587,ID,1
AA-only (before retrain),35,AA_pure,ID,0.696846,ID,1
AA-only (before retrain),36,AA_pure,ID,0.392795,ID,1
AA-only (before retrain),37,AA_pure,ID,0.47617,ID,1
AA-only (before retrain),38,AA_pure,ID,0.35913,ID,1
AA-only (before retrain),39,AA_pure,ID,0.612458,ID,1
AA-only (before retrain),40,AA_pure,ID,0.508632,ID,1
AA-only (before retrain),41,AA_pure,ID,0.836744,OOD,0
AA-only (before retrain),42,AA_pure,ID,0.544676,ID,1
AA-only (before retrain),43,AA_pure,ID,0.503072,ID,1
AA-only (before retrain),44,AA_pure,ID,0.496532,ID,1
AA-only (before retrain),45,AA_pure,ID,0.881694,OOD,0
AA-only (before retrain),46,AA_pure,ID,0.737441,ID,1
AA-only (before retrain),47,AA_pure,ID,0.467816,ID,1
AA-only (before retrain),48,AA_pure,ID,0.458445,ID,1
AA-only (before retrain),49,AA_pure,ID,0.608178,ID,1
AA-only (before retrain),50,AA_pure,ID,0.411581,ID,1
AA-only (before retrain),51,AA_pure,ID,0.540155,ID,1
AA-only (before retrain),52,AA_pure,ID,0.379722,ID,1
AA-only (before retrain),53,AA_pure,ID,0.777784,ID,1
AA-only (before retrain),54,AA_pure,ID,0.722496,ID,1
AA-only (before retrain),55,AA_pure,ID,0.619502,ID,1
AA-only (before retrain),56,AA_pure,ID,0.651661,ID,1
AA-only (before retrain),57,AA_pure,ID,0.387833,ID,1
AA-only (before retrain),58,AA_pure,ID,0.556006,ID,1
AA-only (before retrain),59,AA_pure,ID,0.725466,ID,1
AA-only (before retrain),60,AA_pure,ID,0.478822,ID,1
AA-only (before retrain),61,AA_pure,ID,1.0,OOD,0
AA-only (before retrain),62,AA_pure,ID,0.472244,ID,1
AA-only (before retrain),63,AA_pure,ID,0.435154,ID,1
AA-only (before retrain),64,AA_pure,ID,0.35558,ID,1
AA-only (before retrain),65,AA_pure,ID,0.741611,ID,1
AA-only (before retrain),66,AA_pure,ID,0.514711,ID,1
AA-only (before retrain),67,AA_pure,ID,0.574862,ID,1
AA-only (before retrain),68,AA_pure,ID,0.446636,ID,1
AA-only (before retrain),69,AA_pure,ID,0.559021,ID,1
AA-only (before retrain),70,AA_pure,ID,0.53379,ID,1
AA-only (before retrain),71,AA_pure,ID,0.470007,ID,1
